Date,EURGBP=X,EURUSD=X,FEZ,^AEX,^FCHI,^GDAXI,^STOXX50E
2008-09-03,0.0028195225844139396,-0.0020591425221934043,-0.0033276969001099564,-0.020414352169417598,-0.020463188587310215,-0.007851593660240125,-0.013997864879175313
2008-09-04,-0.009470615055069803,-0.015381144871580115,-0.05063525106196514,-0.022776610092523606,-0.032711826119102616,-0.029486646317596298,-0.028344124350238604
2008-09-05,-0.004210493065209591,0.0006992204603605389,-0.008804816146174486,-0.02021969483690634,-0.02525808376530376,-0.024524443917689015,-0.027550050475229036
2008-09-08,-0.0036054049376676093,0.052877595352298176,0.012086475516358221,0.024290244385439443,0.03362685435103135,0.022000453332528598,0.030385891265847814
2008-09-09,-0.0002491693933388628,-0.061773920728298674,-0.02723486128608237,-0.007702795683619705,-0.010850913999207606,-0.004853928571965696,-0.007043384062472585
2008-09-10,-0.0064991715120123385,-0.0116888800173726,0.003584268563743492,-0.00463513380934842,-0.002257127575966245,-0.0037111635448380895,-0.0058587849967566144
2008-09-11,0.0,0.0008533801121197061,0.001788214476252581,-0.003407668919315557,-0.008107726740175122,-0.005072149809164345,-0.006163247145692381
2008-09-12,-0.004650316812816809,0.01727956539955487,0.019237724479734992,0.0176996016488452,0.01948161407569329,0.009020712268196996,0.017206236337907174
2008-09-15,0.0006297127088587786,0.002038383758058949,-0.04364575718977126,-0.03704174002415031,-0.03851265373137502,-0.027764899580363413,-0.039465799888465124
2008-09-16,-0.0026473268286176643,-0.009430018949630171,-0.008270219895388673,-0.036606213389784086,-0.019760007236246203,-0.016458517354599467,-0.02011093861510477
2008-09-17,-0.0037941374856386876,0.013648198564252673,-0.033543783601626666,-0.03906124522025242,-0.021587159603774064,-0.017620719858717146,-0.02281337891343621
2008-09-18,-0.0017755158462863562,-0.0017037373595343327,0.035157442324697336,-0.015014978446942407,-0.01061838530000489,0.0004162160045370995,-0.0059605270214591844
2008-09-19,0.0019022394345188669,0.007870055715632056,0.07852135553592746,0.08231063807806727,0.08867860692832183,0.05412608241169288,0.08084855005911006
2008-09-22,0.008703874412308766,0.02588063811327514,-0.03256880299099907,-0.017542877376257798,-0.023715628830642214,-0.013300663594544264,-0.022299841305453476
2008-09-23,-0.0059205377996604065,-0.006988811716418743,-0.01601837066864887,-0.020328332497557847,-0.02001421422411687,-0.006442090880630584,-0.013268968648667936
2008-09-24,-0.0006318657605514481,-0.00407634787619441,-0.0008970501369432007,-0.019279479526249883,-0.00612521494403166,-0.002583806624149097,-0.0063901450102121764
2008-09-25,0.005547183650109095,0.0006002187028517666,0.03159451308530031,0.02391996169159219,0.02692053407428238,0.019657209383988235,0.027591715387667703
2008-09-26,-0.005168001220283355,-0.0029387224335763865,-0.008957566158187715,-0.040810767898938616,-0.01512036907378369,-0.017902577355269424,-0.015919119480267356
2008-09-29,0.009683815751092511,-0.014191183822729327,-0.10421503554929687,-0.0915803288259752,-0.051731017459396976,-0.04320931488962025,-0.048112584597934584
2008-09-30,-0.010189449402904865,-0.020838726747097962,0.03658524290221073,0.024123381741727082,0.019691157501383446,0.004114069301996008,0.009926669211708341
2008-10-01,0.001263567445920504,-0.005706855754467501,0.00046949887469868127,0.008382263074273134,0.005549894301010958,-0.004243230330660666,0.009548809769104835
2008-10-02,-0.01219680200297226,-0.014968789940075682,-0.04930679151100786,-0.010254660903145274,-0.022765277919699123,-0.025413542457250856,-0.019701531360100666
2008-10-03,-0.004612437849727428,-0.0016694470894127007,0.0051640028017197045,0.03909515559539429,0.0292088224021816,0.023810507634590975,0.034737793097424245
2008-10-06,-0.005150015447993547,-0.020520458544919223,-0.0627572999004243,-0.0959033203472858,-0.09471537333528243,-0.07335522386375715,-0.08189722009862149
2008-10-07,0.0043792287303678415,0.006136527503310467,-0.039690980381102525,-0.010032222781128884,0.005437801306059358,-0.011271710468494615,0.0036462166028340434
2008-10-08,0.01353093254318002,0.09599245337352873,-0.025317722981927793,-0.07996191490038512,-0.06512925168885653,-0.06056051359779822,-0.06636805407192427
2008-10-09,0.008836246707188465,-0.0952585030440745,-0.0755238161547072,-0.013001618624786174,-0.015617938270929591,-0.025579614155696973,-0.024612457258046776
2008-10-10,-0.021082839084062808,-0.014820246346670198,-0.04267740366411039,-0.08864736933968674,-0.08047922253684617,-0.0727027044713133,-0.08207875797218589
2008-10-13,0.0020515804795665647,0.016575979413581615,0.16156114805235045,0.10028274441759912,0.10594589934068788,0.10797468060459708,0.10437647119412286
2008-10-14,0.0010241377575474918,-0.00028603250445005587,-0.026776441665588364,-0.0026676250495167885,0.027102147156254367,0.026652238532239855,0.025132330025113267
2008-10-15,0.0008953085791258388,-0.012867675287039186,-0.121386858512887,-0.07861440448014578,-0.07063260935965483,-0.0671290844301781,-0.06701161781803491
2008-10-16,-0.005769580602009708,0.003420673689635183,0.04419570450925479,-0.05856403576376709,-0.06099663489643233,-0.05037099054049365,-0.061700624132183406
2008-10-17,-0.001286653687739773,-0.004978869049058091,-0.012515080948280926,0.01687028346924633,0.045752643451215026,0.03371600883560011,0.04374003507790429
2008-10-20,0.0005148754897257163,-0.00820799603272654,0.048861618044585456,0.06577411652204869,0.034994000310133666,0.01116438186241109,0.03168255202790488
2008-10-21,0.007563609792310766,-0.019120233843420667,-0.0633589819463173,-0.00018567593485358135,0.007767295678377348,-0.0105204007054951,-0.0056439623842139824
2008-10-22,0.009912373935651662,-0.01888969224809695,-0.08903238413739072,-0.05447149184501347,-0.052338771752629173,-0.04561547326251949,-0.05577940731364847
2008-10-23,0.009063509780298682,0.009956725545702923,0.01975687211929176,0.010800815542341585,0.0038402496724469354,-0.011301611539242468,-0.002419529248069781
2008-10-24,-0.004143851655621061,-0.024638939857002468,-0.057368854634879965,-0.047371771823214504,-0.036002718542497786,-0.050838142746909384,-0.049641249318196176
2008-10-27,0.009393259161738242,-0.013174293530413102,-0.049550453676421795,-0.036524253530824446,-0.0403942830949223,0.009031072915635843,0.0
2008-10-28,-0.007758786832355699,0.027254175474300528,0.1262936077158167,0.003620601720244253,0.015389416156605941,0.10685088680781094,0.02053107677717931
2008-10-29,-0.005795642284133372,0.011659930314412394,0.011446823310941642,0.08696226799694519,0.08832760388464495,-0.0030647945836101555,0.054562130235212614
2008-10-30,-0.006592351983162041,-0.0070637075725948064,0.01910219676510635,-0.007462837445858413,0.0015417621999788043,0.01252546391944427,0.0050760918443356175
2008-10-31,0.007476465632183755,-0.012989200305231121,0.021783545956039565,0.03822755261538497,0.022989050927994945,0.024078906951446197,0.024892870982492137
2008-11-03,0.009799052011186154,-0.006633764291643426,-0.01652437705164691,0.019678856620491528,0.011660764744501265,0.0077624685552169104,0.007028376475480835
2008-11-04,0.018333242434355964,0.028593508882069955,0.09162859525533286,0.0642614592611297,0.045199204795163477,0.048763299088972804,0.05409547950561115
2008-11-05,0.0003681538683345802,-0.005089801198032505,-0.06363751396726379,-0.04098231034670713,-0.019970011459176786,-0.02128771207965261,-0.016272618856250403
2008-11-06,-0.000613713886895326,-0.01741593036892256,-0.06860737124623882,-0.06976262850369182,-0.06593343699443979,-0.07082813595694848,-0.0642214988519885
2008-11-07,-0.0029509194779719808,0.0014990597560185584,0.06439786886569097,0.019418146659319322,0.023882610526566407,0.025614557752966033,0.023520982583662055
2008-11-10,0.003564633364867344,0.002660882597178923,-0.0219322544255084,0.005292322180668842,0.010503484353653328,0.017477344471644833,0.00891297209099551
2008-11-11,-0.0020880484918540036,-0.01836591218615012,-0.04278701329622398,-0.03815363700308884,-0.04950912534413168,-0.053951315923329426,-0.05568768815986159
2008-11-12,0.027767755730254296,-0.004557884112118673,-0.05585467164006713,-0.031125403726617963,-0.031187971864709684,-0.03001175433811081,-0.03393617107155335
2008-11-13,0.025503162533625844,0.026115889570376614,0.09648395958055833,0.0028445230786992405,0.010917441294292465,0.006196184657164808,0.012089522481822117
