Model,Violations,Kupiec p-val,Christoffersen p-val
GARCH,12,0.00031508335685781486,0.4736672191066177
GJR-GARCH,15,0.004017382816206894,0.3691425885546511
RL-Adjusted,7,7.43679731129987e-07,0.6773279790834981
