Asset,Violations,Basel_Zone,Kupiec_p,Indep_p
^STOXX50E,13,Red,0.7776334100354374,0.6384019489290014
^GSPC,9,Yellow,0.7776334100354374,0.6384019489290014
^IXIC,11,Red,0.0009423506647261,0.2559718374853902
^N225,10,Red,0.0033817374965618,0.2077320412035304
