,Accuracy,Precision,Recall,F1,G-Mean
Logistic Regression,0.9682899207248018,0.84375,0.8617021276595744,0.8526315789473684,0.9194128332431553
SVM,0.7848244620611552,0.029411764705882353,0.031914893617021274,0.030612244897959183,0.16706394954992573
MLP,0.10645526613816535,0.10645526613816535,1.0,0.19242579324462641,0.0
