Model,Violations,Kupiec p-value,Christoffersen p-value
GARCH,12,0.0002279368293477413,0.4775664346652603
GJR-GARCH,18,0.022484438619734703,0.2841577361288711
RL-Adjusted,20,0.06463516331006258,0.2331964332928601
