Asset,Violations,Basel_Zone,Kupiec_p,Indep_p,AcerbiSzekely_Z,Expected_Shortfall_Mean,Stress_Test_Failures
^STOXX50E,9,Yellow,0.0018222959421005935,0.7112450843666942,0.11233725895213986,0.019718158796704036,1
^GSPC,11,Red,0.18074137690507652,0.09088142682386091,0.00808875536721021,0.01967793721337371,1
^IXIC,14,Red,0.24191316029275,0.6789757480661927,-0.009367374163522513,0.02854707273888379,1
^N225,13,Red,0.24191316029275,0.6528933490704371,0.05383655698164991,0.024587378959929514,1
