Date,^STOXX50E,^GSPC,^IXIC,^N225
2022-01-03,0.022193145130676467,0.014706797745573687,0.02085706385738275,0.022018844562852642
2022-01-04,0.02158017070953468,0.015039159968641715,0.021546801459390058,0.021710200125216322
2022-01-05,0.02249454672265322,0.013652722537509729,0.02394059570216722,0.027944549660141628
2022-01-06,0.021583857909618233,0.032992948741647876,0.03985605041212224,0.023547445043880125
2022-01-07,0.032717912927771646,0.025026601030093493,0.03494614691882145,0.037295333081495276
2022-01-10,0.029818379245240303,0.021284714620015837,0.032717491715051054,0.027246892648711888
2022-01-11,0.037310812548900674,0.017723392608378907,0.02917355439341803,0.023722595710084296
2022-01-12,0.03461120400513882,0.018462649791642114,0.028629905987063706,0.024582308892139956
2022-01-13,0.031992339780184766,0.01569438690827121,0.025913748703338388,0.029232685261211446
2022-01-14,0.02804180148927625,0.025380632610664925,0.03418615692398097,0.02639228423883056
2022-01-17,0.03055118768767976,0.020262276214842098,0.030922344130748555,0.02684225812462049
2022-01-18,0.028463255117847232,0.017265660426291487,0.02811670450021791,0.024647667074840656
2022-01-19,0.031066637945808315,0.029431830052886385,0.03620217148823467,0.02325834979769518
2022-01-20,0.02769062755751711,0.027917923859199032,0.034441334122249485,0.03539650348256041
2022-01-21,0.026687177147087595,0.027944954011652055,0.03367963451610932,0.028888936748120337
2022-01-24,0.03559480644214811,0.0353797051918431,0.0400872815535099,0.026180655418446358
2022-01-25,0.07713775666383933,0.028216526033875967,0.03628012459074063,0.023887171418001597
2022-01-26,0.06437422156176366,0.028811481545676275,0.03894296905724677,0.027854127549036288
2022-01-27,0.06355931516374605,0.02365338856964381,0.03530271788156343,0.02489334948188395
2022-01-28,0.054166145746663556,0.021429480174478516,0.03454980504731413,0.03667851426723799
2022-01-31,0.050653918323091296,0.03415377537924472,0.04018237977762135,0.034470151695662476
2022-02-01,0.04534286457262537,0.03569873162067748,0.04596690456404324,0.02898258569492
2022-02-02,0.04249811509556785,0.030438211731141918,0.04213384577828041,0.025099655704441514
2022-02-03,0.037115211874869936,0.027603468948794185,0.038649016541328365,0.028240635542276685
2022-02-04,0.0467264180284494,0.038247357548327934,0.0481379572336733,0.026823345673505982
2022-02-07,0.046834555705804526,0.032677143517338296,0.04560960040607421,0.02541074369703747
2022-02-08,0.0422813562268838,0.028550497978949173,0.04215090715680113,0.02482476541369898
2022-02-09,0.03693428432324576,0.025759109530642622,0.03966731002510755,0.023573498195970634
2022-02-10,0.041208874005830336,0.026789060243523764,0.03965345663411247,0.02473186889833818
2022-02-11,0.03648974034828385,0.03189308842472241,0.04110379324479695,0.023776245959477485
2022-02-14,0.03719195377949224,0.035787986840258475,0.04485797805619022,0.02320052671168182
2022-02-15,0.04871373853859976,0.03111740492101758,0.041090045641155794,0.029005386238373822
2022-02-16,0.0505795778830892,0.03146607584168952,0.04264301758338236,0.026261573832070513
2022-02-17,0.04443763472149146,0.02710104556709329,0.03931873451347152,0.02971780063163654
2022-02-18,0.040466588184743406,0.0345186269714579,0.04402776869565966,0.026906284598612815
2022-02-21,0.03960725980417501,0.03132349111581951,0.04188494574680479,0.024815781342620705
2022-02-22,0.0492016296607454,0.027351180594326653,0.03890527179206343,0.024582852722453405
2022-02-23,0.04348652245110049,0.02700328145638363,0.038445039695019445,0.027235182122703955
2022-02-24,0.03925873967188777,0.03199503756048591,0.04132764049845938,0.024885379631115617
2022-02-25,0.06493120477408305,0.03198966311224729,0.0461068517853951,0.027474826960390848
2022-02-28,0.07725223510618683,0.036508242510917416,0.04462308328739674,0.02919462510223025
2022-03-01,0.07035703100380872,0.0319753587568956,0.041674616624881665,0.025792755097789066
2022-03-02,0.08817847068632893,0.03337813299376252,0.04077542547339621,0.025985381180728646
2022-03-03,0.07926279572488777,0.035066799517629185,0.03945183333282651,0.02743270264901
2022-03-04,0.07652232349780852,0.03130403989336649,0.03950199873077136,0.02571350441667102
2022-03-07,0.10282784884383121,0.02899577539156564,0.0392252788954024,0.029195505276141606
2022-03-08,0.09144861218106609,0.04343756802808584,0.04728504632758572,0.03504174619456043
2022-03-09,0.07975745533563786,0.03880019281391864,0.044202784645271484,0.0317514086759803
2022-03-10,0.12548292325788785,0.04385060836914549,0.0497353237393502,0.026865692704515057
2022-03-11,0.11935040823866434,0.038442775982858265,0.047053811210311845,0.041792690729294195
2022-03-14,0.10413111870995383,0.03715527247529309,0.047503613534576244,0.03871989305774204
2022-03-15,0.09264408383120815,0.03363537237471557,0.047479820582858434,0.031827513038278736
2022-03-16,0.08079862457329756,0.03737743458046946,0.04950562402080373,0.02724206473529779
2022-03-17,0.0907579429293658,0.04061332604415119,0.05454753433349541,0.028869262681752723
2022-03-18,0.0795054891879391,0.03763181593399909,0.051887766086104736,0.03981164476570806
2022-03-21,0.06939497652008554,0.034831109260835276,0.050760456014482674,0.03375396935557778
2022-03-22,0.06084188828701701,0.030317308226019996,0.0475127199627924,0.029176429441480304
2022-03-23,0.055048355095666746,0.028944274843742197,0.046662067984988016,0.02968906754803776
2022-03-24,0.05427577843566465,0.02970634739665783,0.044881933755770875,0.037036559994754865
2022-03-25,0.04734070603362456,0.030174932358243815,0.044315837691159606,0.03174819447820916
2022-03-28,0.040726436561154836,0.026815996251260472,0.0411924770537617,0.02827726439664588
2022-03-29,0.03572781091587035,0.024501361644466015,0.039368928310075955,0.026926577286958322
2022-03-30,0.05378892354424626,0.025186664318381864,0.0392464943199543,0.026990929628269187
2022-03-31,0.050628946824010895,0.0236383524861462,0.037869040374333876,0.02641782473175457
2022-04-01,0.05020089563443665,0.02833140618532648,0.03764150842158481,0.025934335961515738
2022-04-04,0.044653175134275504,0.025084316553711915,0.03473552065592507,0.025266543104460856
2022-04-05,0.04070591963957384,0.02362061979276534,0.0355086412306316,0.024374607231977926
2022-04-06,0.03878501939852155,0.025941017862460496,0.038377310685744966,0.02385822848758
2022-04-07,0.05105284208693677,0.02583102056403911,0.04033819106534521,0.02664027863622642
2022-04-08,0.046371453514290256,0.023297094041456752,0.03761958332544898,0.028405047707468774
2022-04-11,0.045682399815791086,0.02105394510199979,0.03686473370392634,0.026743908376632177
2022-04-12,0.04152926568464601,0.027449829291657284,0.03886422798298991,0.025901693287367016
2022-04-13,0.037351164062437124,0.02476203798784113,0.036309716339724865,0.028318818305829194
2022-04-14,0.03340931212661007,0.024833927676884613,0.0371195522141146,0.030075976237062218
2022-04-15,0.030527126616351836,0.0262650700705401,0.0387847886441557,0.02912444109368782
2022-04-18,0.027377339468506675,0.023554695913795675,0.036096863897686675,0.027337102241770186
2022-04-19,0.02446835936499453,0.02114494880728397,0.03343818761677598,0.027170457824513567
2022-04-20,0.024581235705313426,0.025091446626764574,0.03557486935504923,0.026419707895487952
2022-04-21,0.03321940440227438,0.02255318791132937,0.034556718975719936,0.02603799217313542
2022-04-22,0.03136816603983981,0.026175683651177555,0.036407542573992126,0.026464055335346313
2022-04-25,0.045255308545143785,0.03963877325407446,0.04011214089833447,0.0275386802431855
2022-04-26,0.05293854934968061,0.035162060141872675,0.03869463733738157,0.02914880781644284
2022-04-27,0.04929762535915174,0.04533562678588982,0.04861223540297896,0.027453374397804983
2022-04-28,0.04348472749512363,0.039256921448153494,0.043944430854958534,0.027214215223042522
2022-04-29,0.04115577796096384,0.04278892757116648,0.04624918138445068,0.03092734646462493
2022-05-02,0.037664682448345845,0.053848594972282705,0.04965617573211182,0.03170764128026594
2022-05-03,0.04469130471615854,0.049050951177812906,0.04896827440261748,0.03163686688501774
2022-05-04,0.04057080074559996,0.04472287702016931,0.047373467941351534,0.03263258212118872
2022-05-05,0.039559189635911374,0.0494152834956301,0.0494350736342238,0.03299496004724042
2022-05-06,0.037593176629112546,0.05759689791985937,0.055326067405040334,0.032596997428582214
2022-05-09,0.04388772000135856,0.05303216328671985,0.054139025891840956,0.03253468649420069
2022-05-10,0.058262143869507434,0.058271489396423314,0.058173816866615165,0.03248590017141718
2022-05-11,0.052302084054477484,0.0532567509148579,0.05614415641933532,0.032312537963670715
2022-05-12,0.0588565122601451,0.05147196851417855,0.057618926782622835,0.03192966415417246
2022-05-13,0.05408201404558632,0.047165133548504205,0.05549375657833127,0.03167848492251558
2022-05-16,0.05893093481374976,0.04851053339342407,0.05818613850277023,0.0332331952793369
2022-05-17,0.05253650915318628,0.044671132755642655,0.056568684068551055,0.03332232542790203
2022-05-18,0.050854471323732414,0.04494654762165872,0.05720843688498433,0.03289344247800105
2022-05-19,0.049977799803473534,0.05729029659702448,0.0639175325991269,0.032611698047745
2022-05-20,0.05060199889419505,0.05295250736938261,0.060461763181019285,0.03244009131533623
2022-05-23,0.04567150287673763,0.04863056558060049,0.057387678219007664,0.03209378066433142
2022-05-24,0.04491228176275608,0.04775625031113311,0.056013605459756165,0.03176301318674348
2022-05-25,0.04748208087043071,0.04469430771276915,0.05586109279037361,0.03134836406266496
2022-05-26,0.04353731570307847,0.04189064768123386,0.05476571914160376,0.03092871479919434
