Asset,Basel_Zone,Violations,Kupiec_p,Indep_p,Regime_Accuracy
^STOXX50E,Red,13,0.7776334100354374,0.6384019489290014,0.490521327014218
^GSPC,Yellow,9,0.7776334100354374,0.6384019489290014,0.1386255924170616
^IXIC,Red,11,0.0009423506647261437,0.2559718374853902,0.9229857819905213
^N225,Red,10,0.0033817374965618985,0.2077320412035304,0.542654028436019
